Chapter_1:  argument 	Value passed to a function.
Chapter_6:  recursive function 	Function that calls itself directly or indirectly.
Chapter_6:  return type 	Part of a function declaration that specifies the type of the value that the function returns.
Chapter_6:  separate compilation 	Ability to split a program into multiple separate source files.
Chapter_6:  trailing return type 	Return type specified after the parameter list.
Chapter_6:  viable functions 	Subset of the candidate functions that could match a given call. Viable functions have the same number of parameters as arguments to the call, and each argument type can be converted to the corresponding parameter type.
Chapter_7:  () operator 	Call operator. Executes a function. The name of a function or a function pointer precedes the parentheses, which enclose a (possibly empty) comma-separated list of arguments. abstract data type Data structure that encapsulates (hides) its implementation.
Chapter_7:  access specifier 	Keywords public and private. Used to define whether members are accessible to users of the class or only to friends and members of the class. Specifiers may appear multiple times within a class. Each specifier sets the access of the following members up to the next specifier.
Chapter_7:  aggregate class 	Class with only public data members that has no in-class initializers or constructors. Members of an aggregate can be initialized by a braceenclosed list of initializers.
Chapter_7:  class 	C++ mechanism for defining our own abstract data types. Classes may have data, function, or type members. A class defines a new type and a new scope.
Chapter_7:  class declaration 	The keyword class (or struct) followed by the class name followed by a semicolon. If a class is declared but not defined, it is an incomplete type.
Chapter_7:  class keyword 	Keyword used to define a class; by default members are private.
Chapter_7:  class scope 	Each class defines a scope. Class scopes are more complicated than other scopes—member functions defined within the class body may use names that appear even after the definition.
Chapter_7:  const member function 	A member function that may not change an object’s ordinary (i.e., neither static nor mutable) data members. The this pointer in a const member is a pointer to const. A member function may be overloaded based on whether the function is const.
Chapter_7:  constructor 	A special member function used to initialize objects. Each constructor should give each data member a well-defined initial value.
Chapter_7:  constructor initializer list 	Specifies initial values of the data members of a class. The members are initialized to the values specified in the initializer list before the body of the constructor executes. Class members that are not initialized in the initializer list are default initialized.
Chapter_7:  converting constructor 	A nonexplicit constructor that can be called with a single argument. Such constructors implicitly convert from the argument’s type to the class type.
Chapter_7:  data abstraction 	Programming technique that focuses on the interface to a type. Data abstraction lets programmers ignore the details of how a type is represented and think instead about the operations that the type can perform. Data abstraction is fundamental to both object-oriented and generic programming.
Chapter_7:  default constructor 	Constructor that is used if no initializer is supplied.
Chapter_7:  delegating constructor 	Constructor with a constructor-initializer list that has one entry that designates another constructor of the same class to do the initialization.
Chapter_7:  encapsulation 	Separation of implementation from interface; encapsulation hides the implementation details of a type. In C++, encapsulation is enforced by putting the implementation in the private part of a class.
Chapter_7:  explicit constructor 	Constructor that can be called with a single argument but cannot be used in an implicit conversion. A constructor is made explicit by prepending the keyword explicit to its declaration.
Chapter_7:  forward declaration 	Declaration of an as yet undefined name. Most often used to refer to the declaration of a class that appears prior to the definition of that class. See incomplete type.
Chapter_7:  friend 	Mechanism by which a class grants access to its nonpublic members. Friends have the same access rights as members. Both classes and functions may be named as friends.
Chapter_7:  implementation 	The (usually private) members of a class that define the data and any operations that are not intended for use by code that uses the type.
Chapter_7:  incomplete type 	Type that is declared but not defined. It is not possible to use an incomplete type to define a variable or class member. It is legal to define references or pointers to incomplete types.
Chapter_7:  interface 	The (public) operations supported by a type. Ordinarily, the interface does not include data members.
Chapter_7:  member function 	Class member that is a function. Ordinary member functions are bound to an object of the class type through the implicit this pointer.
Chapter_7:  static member functions are not bound to an object and have no this pointer. 	Member functions may be overloaded; when they are, the implicit this pointer participates in the function matching.
Chapter_7:  mutable data member 	Data member that is never const, even when it is a member of a const object. A mutable member can be changed inside a const function.
Chapter_7:  name lookup 	Process by which the use of a name is matched to its declaration.
Chapter_7:  private members 	Members defined after a private access specifier; accessible only to the friends and other class members. Data members and utility functions used by the class that are not part of the type’s interface are usually declared private.
Chapter_7:  public members 	Members defined after a public access specifier; accessible to any user of the class. Ordinarily, only the functions that define the interface to the class should be defined in the public sections.
Chapter_7:  struct keyword 	Keyword used to define a class; by default members are public.
Chapter_7:  synthesized default constructor 	The default constructor created (synthesized) by the compiler for classes that do not explicitly define any constructors. This constructor initializes the data members from their in-class initializers, if present; otherwise it default initializes the data members.
Chapter_7:  this pointer 	Implicit value passed as an extra argument to every nonstatic member function. The this pointer points to the object on which the function is invoked.
Chapter_8:  = default 	Syntax used after the parameter list of the declaration of the default constructor inside a class to signal to the compiler that it should generate the constructor, even if the class has other constructors. condition state Flags and associated functions usable by any of the stream classes that indicate whether a given stream is usable.
Chapter_8:  file mode 	Flags defined by the fstream classes that are specified when opening a file and control how a file can be used.
Chapter_8:  file stream 	Stream object that reads or writes a named file. In addition to the normal iostream operations, file streams also define open and close members. The open member takes a string or a C-style character string that names the file to open and an optional open mode argument. The close member closes the file to which the stream is attached. It must be called before another file can be opened.
Chapter_8:  fstream 	File stream that reads and writes to the same file. By default fstreams are opened with in and out mode set.
Chapter_8:  ifstream 	File stream that reads an input file. By default ifstreams are opened with in mode set.
Chapter_8:  inheritance 	Programming feature that lets a type inherit the interface of another type. The ifstream and istringstream classes inherit from istream and the ofstream and ostringstream classes inherit from ostream. Chapter 15 covers inheritance.
Chapter_8:  istringstream 	String stream that reads a given string.
Chapter_8:  ofstream 	File stream that writes to an output file. By default, ofstreams are opened with out mode set.
Chapter_8:  ostringstream 	String stream that writes to a given string.
Chapter_8:  string stream 	Stream object that reads or writes a string. In addition to the normal iostream operations, string streams define an overloaded member named str. Calling str with no arguments returns the string to which the string stream is attached. Calling it with a string attaches the string stream to a copy of that string.
Chapter_9:  stringstream 	String stream that reads and writes to a given string. adaptor Library type, function, or iterator that, given a type, function, or iterator, makes it act like another. There are three sequential container adaptors: stack, queue, and priority_queue. Each adaptor defines a new interface on top of an underlying sequential container type.
Chapter_9:  array 	Fixed-size sequential container. To define an array, we must give the size in addition to specifying the element type. Elements in an array can be accessed by their positional index. Supports fast random access to elements.
Chapter_9:  begin 	Container operation that returns an iterator referring to the first element in the container, if there is one, or the off-the-end iterator if the container is empty. Whether the returned iterator is const depends on the type of the container.
Chapter_9:  cbegin 	Container operation that returns a const_iterator referring to the first element in the container, if there is one, or the off-the-end iterator if the container is empty.
Chapter_9:  cend 	Container operation that returns a const_iterator referring to the (nonexistent) element one past the end of the container.
Chapter_9:  container 	Type that holds a collection of objects of a given type. Each library container type is a template type. To define a container, we must specify the type of the elements stored in the container. With the exception of array, the library containers are variable-size.
Chapter_9:  deque 	Sequential container. Elements in a deque can be accessed by their positional index. Supports fast random access to elements. Like a vector in all respects except that it supports fast insertion and deletion at the front of the container as well as at the back and does not relocate elements as a result of insertions or deletions at either end.
Chapter_9:  end 	Container operation that returns an iterator referring to the (nonexistent) element one past the end of the container. Whether the returned iterator is const depends on the type of the container.
Chapter_9:  forward_list 	Sequential container that represents a singly linked list. Elements in a forward_list may be accessed only sequentially; starting from a given element, we can get to another element only by traversing each element between them. Iterators on forward_list do not support decrement (--). Supports fast insertion (or deletion) anywhere in the forward_list. Unlike other containers, insertions and deletions occur after a given iterator position. As a consequence, forward_list has a “before-the-beginning” iterator to go along with the usual off-the-end iterator. Iterators remain valid when new elements are added. When an element is removed, only the iterators to that element are invalidated.
Chapter_9:  iterator range 	Range of elements denoted by a pair of iterators. The first iterator denotes the first element in the sequence, and the second iterator denotes one past the last element. If the range is empty, then the iterators are equal (and vice versa—if the iterators are unequal, they denote a nonempty range). If the range is not empty, then it must be possible to reach the second iterator by repeatedly incrementing the first iterator. By incrementing the iterator, each element in the sequence can be processed.
Chapter_9:  left-inclusive interval 	A range of values that includes its first element but not its last. Typically denoted as [i, j), meaning the sequence starting at and including i up to but excluding j.
Chapter_9:  list 	Sequential container representing a doubly linked list. Elements in a list may be accessed only sequentially; starting from a given element, we can get to another element only by traversing each element between them. Iterators on list support both increment (++) and decrement (--). Supports fast insertion (or deletion) anywhere in the list. Iterators remain valid when new elements are added. When an element is removed, only the iterators to that element are invalidated.
Chapter_9:  off-the-beginning iterator 	Iterator denoting the (nonexistent) element just before the beginning of a forward_list. Returned from the forward_list member before_begin. Like the end() iterator, it may not be dereferenced.
Chapter_9:  off-the-end iterator 	Iterator that denotes one past the last element in the range. Commonly referred to as the “end iterator”.
Chapter_9:  priority_queue 	Adaptor for the sequential containers that yields a queue in which elements are inserted, not at the end but according to a specified priority level. By default, priority is determined by using the less-than operator for the element type.
Chapter_9:  queue 	Adaptor for the sequential containers that yields a type that lets us add elements to the back and remove elements from the front.
Chapter_9:  sequential container 	Type that holds an ordered collection of objects of a single type. Elements in a sequential container are accessed by position.
Chapter_9:  stack 	Adaptor for the sequential containers that yields a type that lets us add and remove elements from one end only.
Chapter_10:  vector 	Sequential container. Elements in a vector can be accessed by their positional index. Supports fast random access to elements. We can efficiently add or remove vector elements only at the back. Adding elements to a vector might cause it to be reallocated, invalidating all iterators into the vector. Adding (or removing) an element in the middle of a vector invalidates all iterators to elements after the insertion (or deletion) point. back_inserter Iterator adaptor that takes a reference to a container and generates an insert iterator that uses push_back to add elements to the specified container.
Chapter_10:  bidirectional iterator 	Same operations as forward iterators plus the ability to use --to move backward through the sequence.
Chapter_10:  binary predicate 	Predicate that has two parameters.
Chapter_10:  bind 	Library function that binds one or more arguments to a callable expression.
Chapter_10:  bind 	is defined in the functional header.
Chapter_10:  callable object 	Object that can appear as the left-hand operand of the call operator. Pointers to functions, lambdas, and objects of a class that defines an overloaded function call operator are all callable objects.
Chapter_10:  capture list 	Portion of a lambda expression that specifies which variables from the surrounding context the lambda expression may access.
Chapter_10:  cref 	Library function that returns a copyable object that holds a reference to a const object of a type that cannot be copied.
Chapter_10:  forward iterator 	Iterator that can read and write elements but is not required to support --.
Chapter_10:  front_inserter 	Iterator adaptor that, given a container, generates an insert iterator that uses push_front to add elements to the beginning of that container.
Chapter_10:  generic algorithms 	Type-independent algorithms.
Chapter_10:  input iterator 	Iterator that can read, but not write, elements of a sequence.
Chapter_10:  insert iterator 	Iterator adaptor that generates an iterator that uses a container operation to add elements to a given container.
Chapter_10:  inserter 	Iterator adaptor that takes an iterator and a reference to a container and generates an insert iterator that uses insert to add elements just ahead of the element referred to by the given iterator.
Chapter_10:  istream_iterator 	Stream iterator that reads an input stream.
Chapter_10:  iterator categories 	Conceptual organization of iterators based on the operations that an iterator supports. Iterator categories form a hierarchy, in which the more powerful categories offer the same operations as the lesser categories. The algorithms use iterator categories to specify what operations the iterator arguments must support. As long as the iterator provides at least that level of operation, it can be used. For example, some algorithms require only input iterators. Such algorithms can be called on any iterator other than one that meets only the output iterator requirements. Algorithms that require random-access iterators can be used only on iterators that support random-access operations.
Chapter_10:  lambda expression 	Callable unit of code. A lambda is somewhat like an unnamed, inline function. A lambda starts with a capture list, which allows the lambda to access variables in the enclosing function. Like a function, it has a (possibly empty) parameter list, a return type, and a function body. A lambda can omit the return type. If the function body is a single return statement, the return type is inferred from the type of the object that is returned. Otherwise, an omitted return type defaults to void.
Chapter_10:  move iterator 	Iterator adaptor that generates an iterator that moves elements instead of copying them. Move iterators are covered in Chapter 13.
Chapter_10:  ostream_iterator 	Iterator that writes to an output stream.
Chapter_10:  output iterator 	Iterator that can write, but not necessarily read, elements.
Chapter_10:  predicate 	Function that returns a type that can be converted to bool. Often used by the generic algorithms to test elements. Predicates used by the library are either unary (taking one argument) or binary (taking two).
Chapter_10:  random-access iterator 	Same operations as bidirectional iterators plus the relational operators to compare iterator values, and the subscript operator and arithmetic operations on iterators, thus supporting random access to elements.
Chapter_10:  ref 	Library function that generates a copyable object from a reference to an object of a type that cannot be copied.
Chapter_10:  reverse iterator 	Iterator that moves backward through a sequence. These iterators exchange the meaning of ++ and --.
Chapter_10:  stream iterator 	Iterator that can be bound to a stream.
Chapter_11:  unary predicate 	Predicate that has one parameter. associative array Array whose elements are indexed by key rather than positionally. We say that the array maps a key to its associated value.
Chapter_11:  associative container 	Type that holds a collection of objects that supports efficient lookup by key.
Chapter_11:  hash 	Special library template that the unordered containers use to manage the position of their elements.
Chapter_11:  hash function 	Function that maps values of a given type to integral (size_t) values. Equal values must map to equal integers; unequal values should map to unequal integers where possible.
Chapter_11:  key_type 	Type defined by the associative containers that is the type for the keys used to store and retrieve values. For a map, key_type is the type used to index the map. For set, key_type and value_type are the same.
Chapter_11:  map 	Associative container type that defines an associative array. Like vector, map is a class template. A map, however, is defined with two types: the type of the key and the type of the associated value. In a map, a given key may appear only once. Each key is associated with a particular value. Dereferencing a map iterator yields a pair that holds a const key and its associated value.
Chapter_11:  mapped_type 	Type defined by map types that is the type of the values associated with the keys in the map.
Chapter_11:  multimap 	Associative container similar to map except that in a multimap, a given key may appear more than once. multimap does not support subscripting.
Chapter_11:  multiset 	Associative container type that holds keys. In a multiset, a given key may appear more than once.
Chapter_11:  pair 	Type that holds two public data members named first and second. The pair type is a template type that takes two type parameters that are used as the types of these members.
Chapter_11:  set 	Associative container that holds keys. In a set, a given key may appear only once.
Chapter_11:  strict weak ordering 	Relationship among the keys used in an associative container. In a strict weak ordering, it is possible to compare any two values and determine which of the two is less than the other. If neither value is less than the other, then the two values are considered equal.
Chapter_11:  unordered container 	Associative containers that use hashing rather than a comparison operation on keys to store and access elements. The performance of these containers depends on the quality of the hash function.
Chapter_11:  unordered_map 	Container with elements that are key–value pairs, permits only one element per key.
Chapter_11:  unordered_multimap 	Container with elements that are key–value pairs, allows multiple elements per key.
Chapter_11:  unordered_multiset 	Container that stores keys, allows multiple elements per key.
Chapter_11:  unordered_set 	Container that stores keys, permits only one element per key.
Chapter_11:  value_type 	Type of the element stored in a container. For set and multiset, value_type and key_type are the same. For map and multimap, this type is a pair whose first member has type const key_type and whose second member has type mapped_type.
Chapter_11:  * operator 	Dereference operator. When applied to a map, set, multimap, or multiset iterator * yields a value_type. Note, that for map and multimap, the value_type is a pair.
Chapter_12:  [ ] operator 	Subscript operator. Defined only for nonconst obejcts of type map and unordered_map. For the map types, [] takes an index that must be a key_type (or type that can be converted to key_type). Yields a mapped_type value. allocator Library class that allocates unconstructed memory.
Chapter_12:  dangling pointer 	A pointer that refers to memory that once had an object but no longer does. Program errors due to dangling pointers are notoriously difficult to debug.
Chapter_12:  delete 	Frees memory allocated by new. delete p frees the object and delete [] p frees the array to which p points. p may be null or point to memory allocated by new.
Chapter_12:  deleter 	Function passed to a smart pointer to use in place of delete when destroying the object to which the pointer is bound.
Chapter_12:  destructor 	Special member function that cleans up an object when the object goes out of scope or is deleted.
Chapter_12:  dynamically allocated 	Object that is allocated on the free store. Objects allocated on the free store exist until they are explicitly deleted or the program terminates.
Chapter_12:  free store 	Memory pool available to a program to hold dynamically allocated objects.
Chapter_12:  heap 	Synonym for free store.
Chapter_12:  new 	Allocates memory from the free store. new T allocates and constructs an object of type T and returns a pointer to that object; if T is an array type, new returns a pointer to the first element in the array. Similarly, new [n] T allocates n objects of type T and returns a pointer to the first element in the array. By default, the allocated object is default initialized. We may also provide optional initializers.
Chapter_12:  placement new 	Form of new that takes additional arguments passed in parentheses following the keyword new; for example, new (nothrow) int tells new that it should not throw an exception.
Chapter_12:  reference count 	Counter that tracks how many users share a common object. Used by smart pointers to know when it is safe to delete memory to which the pointers point.
Chapter_12:  shared_ptr 	Smart pointer that provides shared ownership: The object is deleted when the last shared_ptr pointing to that object is destroyed.
Chapter_12:  smart pointer 	Library type that acts like a pointer but can be checked to see whether it is safe to use. The type takes care of deleting memory when appropriate.
Chapter_12:  unique_ptr 	Smart pointer that provides single ownership: The object is deleted when the unique_ptr pointing to that object is destroyed. unique_ptrs cannot be directly copied or assigned.
Chapter_13:  weak_ptr 	Smart pointer that points to an object managed by a shared_ptr. The shared_ptr does not count weak_ptrs when deciding whether to delete its object. copy and swap Technique for writing assignment operators by copying the right-hand operand followed by a call to swap to exchange the copy with the lefthand operand.
Chapter_13:  copy-assignment operator 	Version of the assignment operator that takes an object of the same type as its type. Ordinarily, the copy-assignment operator has a parameter that is a reference to const and returns a reference to its object. The compiler synthesizes the copy-assignment operator if the class does not explicitly provide one.
Chapter_13:  copy constructor 	Constructor that initializes a new object as a copy of another object of the same type. The copy constructor is applied implicitly to pass objects to or from a function by value. If we do not provide the copy constructor, the compiler synthesizes one for us.
Chapter_13:  copy control 	Special members that control what happens when objects of class type are copied, moved, assigned, and destroyed. The compiler synthesizes appropriate definitions for these operations if the class does not otherwise declare them.
Chapter_13:  copy initialization 	Form of initialization used when we use = to supply an initializer for a newly created object. Also used when we pass or return an object by value and when we initialize an array or an aggregate class. Copy initialization uses the copy constructor or the move constructor, depending on whether the initializer is an lvalue or an rvalue.
Chapter_13:  deleted function 	Function that may not be used. We delete a function by specifying = delete on its declaration. A common use of deleted functions is to tell the compiler not to synthesize the copy and/or move operations for a class.
Chapter_13:  destructor 	Special member function that cleans up an object when the object goes out of scope or is deleted. The compiler automatically destroys each data member. Members of class type are destroyed by invoking their destructor; no work is done when destroying members of built-in or compound type. In particular, the object pointed to by a pointer member is not deleted by the destructor.
Chapter_13:  lvalue reference 	Reference that can bind to an lvalue.
Chapter_13:  memberwise copy/assign 	How the synthesized copy and move constructors and the copy- and move-assignment operators work. Taking each nonstatic data member in turn, the synthesized copy or move constructor initializes each member by copying or moving the corresponding member from the given object; the copy- or move-assignment operators copy-assign or move-assign each member from the right-hand object to the left. Members of built-in or compound type are initialized or assigned directly. Members of class type are initialized or assigned by using the member’s corresponding copy/move constructor or copy/move-assignment operator.
Chapter_13:  move 	Library function used to bind an rvalue reference to an lvalue. Calling move implicitly promises that we will not use the moved-from object except to destroy it or assign a new value to it.
Chapter_13:  move-assignment operator 	Version of the assignment operator that takes an rvalue reference to its type. Typically, a move-assignment operator moves data from the right-hand operand to the left. After the assignment, it must be safe to run the destructor on the right-hand operand.
Chapter_13:  move constructor 	Constructor that takes an rvalue reference to its type. Typically, a move constructor moves data from its parameter into the newly created object. After the move, it must be safe to run the destructor on the given argument.
Chapter_13:  move iterator 	Iterator adaptor that generates an iterator that, when dereferenced, yields an rvalue reference.
Chapter_13:  overloaded operator 	Function that redefines the meaning of an operator when applied to operand(s) of class type. This chapter showed how to define the assignment operator; Chapter 14 covers overloaded operators in more detail.
Chapter_13:  reference count 	Programming technique often used in copy-control members. A reference count keeps track of how many objects share state. Constructors (other than copy/move constructors) set the reference count to 1. Each time a new copy is made the count is incremented. When an object is destroyed, the count is decremented. The assignment operator and the destructor check whether the decremented reference count has gone to zero and, if so, they destroy the object.
Chapter_13:  reference qualifier 	Symbol used to indicate that a nonstatic member function can be called on an lvalue or an rvalue. The qualifier, & or &&, follows the parameter list or the const qualifier if there is one. A function qualified by & may be called only on lvalues; a function qualified by && may be called only on rvalues.
Chapter_13:  rvalue reference 	Reference to an object that is about to be destroyed.
Chapter_13:  synthesized assignment operator 	A version of the copy- or move-assignment operator created (synthesized) by the compiler for classes that do not explicitly define assignment operators. Unless it is defined as deleted, a synthesized assignment operator memberwise assigns (moves) the right-hand operand to the left.
Chapter_13:  synthesized copy/move constructor 	A version of the copy or move constructor that is generated by the compiler for classes that do not explicitly define the corresponding constructor. Unless it is defined as deleted, a synthesized copy or move constructor memberwise initializes the new object by copying or moving members from the given object, respectively.
Chapter_14:  synthesized destructor 	Version of the destructor created (synthesized) by the compiler for classes that do not explicitly define one. The synthesized destructor has an empty function body. call signature Represents the interface of a callable object. A call signature includes the return type and a comma-separated list of argument types enclosed in parentheses.
Chapter_14:  class-type conversion 	Conversions to or from class types are defined by constructors and conversion operators, respectively. Nonexplicit constructors that take a single argument define a conversion from the argument type to the class type. Conversion operators define conversions from the class type to the specified type.
Chapter_14:  conversion operator 	A member function that defines a conversions from the class type to another type. A conversion operator must be a member of the class from which it converts and is usually a const member. These operators have no return type and take no parameters. They return a value convertible to the type of the conversion operator. That is, operator int returns an int, operator string returns a string, and so on.
Chapter_14:  explicit conversion operator 	Conversion operator preceeded by the explicit keyword. Such operators are used for implicit conversions only in conditions.
Chapter_14:  function object 	Object of a class that defines an overloaded call operator. Function objects can be used where functions are normally expected.
Chapter_14:  function table 	Container, often a map or a vector, that holds values that can be called.
Chapter_14:  function template 	Library template that can represent any callable type.
Chapter_14:  overloaded operator 	Function that redefines the meaning of one of the built-in operators. Overloaded operator functions have the name operator followed by the symbol being defined. Overloaded operators must have at least one operand of class type. Overloaded operators have the same precedence, associativity and number of operands as their built-in counterparts.
Chapter_15:  user-defined conversion 	A synonym for class-type conversion. abstract base class Class that has one or more pure virtual functions. We cannot create objects of an abstract base-class type.
Chapter_15:  accessible 	Base class member that can be used through a derived object. Accessibility depends on the access specifier used in derivation list of the derived class and the access level of the member in the base class. For example, a public member of a class that is inherited via public inheritance is accessible to users of the derived class. A public base class member is inacceessible if the inheritance is private.
Chapter_15:  base class 	Class from which other classes inherit. The members of the base class become members of the derived class.
Chapter_15:  class derivation list 	List of base classes, each of which may have an optional access level, from which a derived class inherits. If no access specifier is provided, the inheritance is public if the derived class is defined with the struct keyword, and is private if the class is defined with the class keyword.
Chapter_15:  derived class 	Class that inherits from another class. A derived class can override the virtuals of its base and can define new members. A derived-class scope is nested in the scope of its base class(es); members of the derived class can use members of the base class directly.
Chapter_15:  derived-to-base conversion 	Implicit conversion of a derived object to a reference to a base class, or of a pointer to a derived object to a pointer to the base type.
Chapter_15:  direct base class 	Base class from which a derived class inherits directly. Direct base classes are specified in the derivation list of the derived class. A direct base class may itself be a derived class.
Chapter_15:  dynamic binding 	Delaying until run time the selection of which function to run. In C++, dynamic binding refers to the runtime choice of which virtual function to run based on the underlying type of the object to which a reference or pointer is bound.
Chapter_15:  dynamic type 	Type of an object at run time. The dynamic type of an object to which a reference refers or to which a pointer points may differ from the static type of the reference or pointer. A pointer or reference to a base-class type can refer to an to object of derived type. In such cases the static type is reference (or pointer) to base, but the dynamic type is reference (or pointer) to derived.
Chapter_15:  indirect base class 	Base class that does not appear in the derivation list of a derived class. A class from which the direct base class inherits, directly or indirectly, is an indirect base class to the derived class.
Chapter_15:  inheritance 	Programming technique for defining a new class (known as a derived class) in terms of an existing class (known as the base class). The derived class inherits the members of the base class.
Chapter_15:  object-oriented programming 	Method of writing programs using data abstraction, inheritance, and dynamic binding.
Chapter_15:  override 	Virtual function defined in a derived class that has the same parameter list as a virtual in a base class overrides the base-class definition.
Chapter_15:  polymorphism 	As used in object-oriented programming, refers to the ability to obtain type-specific behavior based on the dynamic type of a reference or pointer.
Chapter_15:  private inheritance 	In private inheritance, the public and protected members of the base class are private members of the derived.
Chapter_15:  protected access specifier 	Members defined after the protected keyword may be accessed by the members and friends of a derived class. However, these members are only accessible through derived objects. protected members are not accessible to ordinary users of the class.
Chapter_15:  protected inheritance 	In protected inheritance, the protected and public members of the base class are protected members of the derived class.
Chapter_15:  public inheritance 	The public interface of the base class is part of the public interface of the derived class.
Chapter_15:  pure virtual 	Virtual function declared in the class header using = 0 just before the semicolon. A pure virtual function need not be (but may be) defined. Classes with pure virtuals are abstract classes. If a derived class does not define its own version of an inherited pure virtual, then the derived class is abstract as well.
Chapter_15:  refactoring 	Redesigning programs to collect related parts into a single abstraction, replacing the original code with uses of the new abstraction. Typically, classes are refactored to move data or function members to the highest common point in the hierarchy to avoid code duplication.
Chapter_15:  run-time binding 	See dynamic binding.
Chapter_15:  sliced down 	What happens when an object of derived type is used to initialize or assign an object of the base type. The derived portion of the object is “sliced down,” leaving only the base portion, which is assigned to the base.
Chapter_15:  static type 	Type with which a variable is defined or that an expression yields. Static type is known at compile time.
Chapter_16:  virtual function 	Member function that defines type-specific behavior. Calls to a virtual made through a reference or pointer are resolved at run time, based on the type of the object to which the reference or pointer is bound. class template Definition from which specific classes can be instantiated. Class templates are defined using the template keyword followed by a commaseparated list of one or more template parameters enclosed in < and > brackets, followed by a class definition.
Chapter_16:  default template arguments 	A type or a value that a template uses if the user does not supply a corresponding template argument.
Chapter_16:  explicit instantiation 	A declaration that supplies explicit arguments for all the template parameters. Used to guide the instantiation process. If the declaration is extern, the template will not be instantiated; otherwise, the template is instantiated with the specified arguments. There must be a nonextern explicit instantiation somewhere in the program for every extern template declaration.
Chapter_16:  explicit template argument 	Template argument supplied by the user in a call to a function or when defining a template class type. Explicit template arguments are supplied inside angle brackets immediately following the template’s name.
Chapter_16:  function parameter pack 	Parameter pack that represents zero or more function parameters.
Chapter_16:  function template 	Definition from which specific functions can be instantiated. A function template is defined using the template keyword followed by a commaseparated list of one or more template parameters enclosed in < and > brackets, followed by a function definition.
Chapter_16:  instantiate 	Compiler process whereby the actual template argument(s) are used to generate a specific instance of the template in which the parameter(s) are replaced by the corresponding argument(s). Functions are instantiated automatically based on the arguments used in a call. We must supply explicit template arguments whenever we use a class template.
Chapter_16:  instantiation 	Class or function generated by the compiler from a template.
Chapter_16:  member template 	Member function that is a template. A member template may not be virtual.
Chapter_16:  nontype parameter 	A template parameter that represents a value. Template arguments for nontype template parameters must be constant expressions.
Chapter_16:  pack expansion 	Process by which a parameter pack is replaced by the corresponding list of its elements.
Chapter_16:  parameter pack 	Template or function parameter that represents zero or more parameters.
Chapter_16:  partial specialization 	Version of a class template in which some some but not all of the template parameters are specified or in which one or more parameters are not completely specified.
Chapter_16:  pattern 	Defines the form of each element in an expanded parameter pack.
Chapter_16:  template argument 	Type or value used to instantiate a template parameter.
Chapter_16:  template argument deduction 	Process by which the compiler determines which function template to instantiate. The compiler examines the types of the arguments that were specified using a template parameter. It automatically instantiates a version of the function with those types or values bound to the template parameters.
Chapter_16:  template parameter 	Name specifed in the template parameter list that may be used inside the definition of a template. Template parameters can be type or nontype parameters. To use a class template, we must supply explicit arguments for each template parameter. The compiler uses those types or values to instantiate a version of the class in which uses of the parameter(s) are replaced by the actual argument(s). When a function template is used, the compiler deduces the template arguments from the arguments in the call and instantiates a specific function using the deduced template arguments.
Chapter_16:  template parameter list 	List of parameters, separated by commas, to be used in the definition or declaration of a template. Each parameter may be a type or nontype parameter.
Chapter_16:  template parameter pack 	Parameter pack that represents zero or more template parameters.
Chapter_16:  template specialization 	Redefinition of a class template, a member of a class template, or a function template, in which some (or all) of the template parameters are specified. A template specialization may not appear until after the base template that it specializes has been declared. A template specialization must appear before any use of the template with the specialized arguments. Each template parameter in a function template must be completely specialized.
Chapter_16:  type parameter 	Name used in a template parameter list to represent a type. Type parameters are specified following the keyword typename or class.
Chapter_16:  type transformation 	Class templates defined by the library that transform their given template type parameter to a related type.
Chapter_16:  variadic template 	Template that takes a varying number of template arguments. A template parameter pack is specified using an elipsis (e.g., class. .
Chapter_17:  .	, typename. . ., or type-name. . . ). bitset Standard library class that holds a collection of bits of a size that is known at compile time, and provides operations to test and set the bits in the collection.
Chapter_17:  cmatch 	Container of csub_match objects that provides information about the match to a regex on const char* input sequences. The first element in the container describes the overall match results. The subsequent elements describe the results for the subexpressions.
Chapter_17:  cregex_iterator 	Like sregex_iterator except that it iterates over an array of char.
Chapter_17:  csub_match 	Type that holds the results of a regular expression match to a const char*. Can represent the entire match or a subexpression.
Chapter_17:  default random engine 	Type alias for the random number engine intended for normal use.
Chapter_17:  formatted 	IO IO operations that use the types of the objects being read or written to define the actions of the operations. Formatted input operations perform whatever transformations are appropriate to the type being read, such as converting ASCII numeric strings to the indicated arithmetic type and (by default) ignoring whitespace. Formatted output routines convert types to printable character representations, pad the output, and may perform other, type-specific transformations.
Chapter_17:  get 	Template function that returns the specified member for a given tuple. For example, get<0>(t) returns the first element from the tuple t.
Chapter_17:  high-order 	Bits in a bitset with the largest indices.
Chapter_17:  low-order 	Bits in a bitset with the lowest indices.
Chapter_17:  manipulator 	A function-like object that “manipulates” a stream. Manipulators can be used as the right-hand operand to the overloaded IO operators, << and >>. Most manipulators change the internal state of the object. Such manipulators often come in pairs—one to change the state and the other to return the stream to its default state.
Chapter_17:  random-number distribution 	Standard library type that transforms the output of a random-number engine according to its named distribution. For example, uniform_int_distribution<T> generates uniformly distributed integers of type T, normal_distribution<T> generates normally distributed numbers, and so on.
Chapter_17:  random-number engine 	Library type that generates random unsigned numbers. Engines are intended to be used only as inputs to random-number distributions.
Chapter_17:  random-number generator 	Combination of a random-number engine type and a distribution type.
